ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
21,kbins-quantile,[ 0.         60.2619528  80.47314567 89.94877075 99.98187601],[0.25545455 0.24590909 0.23818182 0.25727273],0.9249907446326996,0.6630936113829309,1
22,decision-tree,[  0.          27.68508244  70.81499481  90.00118637 100.        ],[0.09090909 0.30818182 0.37454545 0.22636364],0.8573380975085455,0.6826187869476661,1
23,kmeans,[  0.          21.33953854  58.18432386  80.61719852 100.        ],[0.06954545 0.165      0.26681818 0.49863636],0.8489644469207621,0.6911082781262905,1
24,random-forest,"[  0.          19.99354935  28.64249325  72.93193054  74.58172989
 100.        ]",[0.05136364 0.03954545 0.31727273 0.01136364 0.58045455],0.7693424281993939,0.9216983398188726,1
25,equal-width,[  0.  20.  40.  60.  80. 100.],[0.05136364 0.05318182 0.13727273 0.23272727 0.52545455],0.9667048109199349,0.9456032086160358,2
26,equal-width-data,[  0.     31.403  48.548  65.692  82.837 100.   ],[0.09181818 0.05181818 0.19136364 0.24409091 0.42090909],0.9893840413396922,0.9842302279329931,1
27,equal-frequency,[  0.     54.3    70.887  82.947  90.959 100.   ],[0.20318182 0.19590909 0.18       0.19454545 0.22636364],0.9266402772053758,0.894180681463819,1
28,kbins,[ 0.         31.40280705 48.54757429 65.69234153 82.83710877 99.98187601],[0.09181818 0.05181818 0.19136364 0.24409091 0.41772727],0.9941833420825174,0.9842309177323211,1
29,kbins-quantile,[ 0.         54.29987269 70.88704299 82.94690875 90.95874652 99.98187601],[0.20318182 0.19590909 0.18       0.19454545 0.22318182],0.9296246959104925,0.8941810878413986,1
30,decision-tree,"[  0.          27.68508244  58.67534065  70.81499481  90.00118637
 100.        ]",[0.09090909 0.14363636 0.16454545 0.37454545 0.22636364],0.9735467493596547,0.9688906451665664,1
31,kmeans,"[  0.          19.80054556  49.04099557  64.22607202  81.28931636
 100.        ]",[0.05136364 0.10181818 0.17181818 0.21727273 0.45772727],0.9754579958476338,0.962792254835753,1
32,random-forest,"[  0.          17.97140598  20.03222237  55.00902023  66.29719925
  73.79426193 100.        ]",[0.02863636 0.03272727 0.14863636 0.13818182 0.06545455 0.58636364],0.9329293563383192,0.6653004626925201,1
33,equal-width,"[  0.          16.66666667  33.33333333  50.          66.66666667
  83.33333333 100.        ]",[0.02090909 0.07318182 0.05909091 0.195      0.27318182 0.37863636],0.9758457232212896,0.6768510166136831,1
34,equal-width-data,[  0.     28.545  42.833  57.12   71.407  85.695 100.   ],[0.09090909 0.01954545 0.11772727 0.175      0.27090909 0.32590909],0.8754814138265363,0.6892119408454872,1
35,equal-frequency,[  0.     51.098  65.443  80.473  84.968  91.542 100.   ],[0.17181818 0.16318182 0.16636364 0.15272727 0.17590909 0.17      ],0.8139267509289165,0.6854836999828235,1
36,kbins,"[ 0.         28.54534584 42.83265188 57.11995791 71.40726394 85.69456998
 99.98187601]",[0.09090909 0.01954545 0.11772727 0.175      0.27090909 0.32272727],0.873752335498062,0.689264886086306,1
37,kbins-quantile,"[ 0.         51.09769102 65.44340921 80.47314567 84.96771717 91.54226186
 99.98187601]",[0.17181818 0.16318182 0.16636364 0.15272727 0.17590909 0.16681818],0.8202169010794081,0.6855361905717761,1
38,decision-tree,"[  0.          19.86541843  27.68508244  58.67534065  70.81499481
  90.00118637 100.        ]",[0.05136364 0.03954545 0.14363636 0.16454545 0.37454545 0.22636364],0.9379569544558697,0.6831006097670791,1
39,kmeans,"[  0.          19.34637098  42.71095918  53.44196383  65.13279609
  81.48740632 100.        ]",[0.05136364 0.05909091 0.08181818 0.14272727 0.20727273 0.45772727],0.9291218164382267,0.6809799805430006,1
40,random-forest,"[  0.          17.97140598  19.66235542  27.95646286  57.41460419
  70.42550278  74.09434128 100.        ]","[0.02863636 0.02272727 0.03954545 0.13727273 0.17090909 0.02045455
 0.58045455]",0.998044440636196,0.5737216038671651,1
41,equal-width,"[  0.          14.28571429  28.57142857  42.85714286  57.14285714
  71.42857143  85.71428571 100.        ]","[0.00363636 0.08727273 0.01954545 0.11772727 0.175      0.27090909
 0.32590909]",0.8621050162387514,0.5692190164115281,1
42,equal-width-data,[  0.     26.504  38.751  50.997  63.243  75.489  87.736 100.   ],"[0.09090909 0.01181818 0.05727273 0.14909091 0.11636364 0.27954545
 0.295     ]",0.7821219838455792,0.5811187543676442,1
43,equal-frequency,[  0.     48.295  62.493  75.821  82.236  87.939  92.046 100.   ],"[0.14363636 0.14272727 0.13909091 0.15363636 0.12590909 0.16818182
 0.12681818]",0.704040192704664,0.5824401724947568,1
44,kbins,"[ 0.         26.50430212 38.75056444 50.99682675 63.24308907 75.48935138
 87.7356137  99.98187601]","[0.09090909 0.01181818 0.05727273 0.14909091 0.11636364 0.27954545
 0.29181818]",0.7817381580832815,0.5811589572667266,1
45,kbins-quantile,"[ 0.         48.29525982 62.49259602 75.82130147 82.23626029 87.93866291
 92.04618482 99.98187601]","[0.14363636 0.14272727 0.13909091 0.15363636 0.12590909 0.16818182
 0.12363636]",0.7136830472538307,0.5824792132778658,1
46,decision-tree,"[  0.          19.86541843  27.68508244  58.67534065  70.81499481
  90.00118637  95.00764084 100.        ]","[0.05136364 0.03954545 0.14363636 0.16454545 0.37454545 0.20772727
 0.01863636]",0.7753780481211503,0.5726735455077974,1
47,kmeans,"[  0.          19.28845812  42.40010567  53.26129341  64.48711161
  75.99910662  82.98646718 100.        ]","[0.05136364 0.05909091 0.08181818 0.13272727 0.10045455 0.15363636
 0.42090909]",0.797394624332183,0.5914107620899292,1
48,random-forest,"[  0.          17.86551762  19.58380127  28.44223499  58.67534065
  70.4677887   74.22852707  89.96765137 100.        ]","[0.02863636 0.02272727 0.03954545 0.14363636 0.16454545 0.02045455
 0.32       0.26045455]",0.7842336709742777,0.4953768124868565,1
49,equal-width,[  0.   12.5  25.   37.5  50.   62.5  75.   87.5 100. ],"[0.         0.08545455 0.01545455 0.05227273 0.13318182 0.13318182
 0.28545455 0.295     ]",0.7857494550297175,0.4959963233678438,1
50,equal-width-data,[  0.     24.974  35.689  46.404  57.12   67.835  78.551  89.266 100.   ],"[0.08545455 0.01318182 0.03045455 0.09909091 0.13454545 0.09727273
 0.27954545 0.26045455]",0.6539155671815491,0.5066090696279559,1
51,equal-frequency,[  0.     45.9    60.262  68.293  80.473  83.547  89.949  92.521 100.   ],"[0.12136364 0.13409091 0.12318182 0.12272727 0.12       0.11818182
 0.13363636 0.12681818]",0.623982090248614,0.5014160860050045,1
52,kbins,"[ 0.         24.97351933 35.68899886 46.40447838 57.11995791 67.83543743
 78.55091696 89.26639648 99.98187601]","[0.08545455 0.01318182 0.03045455 0.09909091 0.13454545 0.09727273
 0.27954545 0.25727273]",0.6551904666180074,0.506642380965843,1
53,kbins-quantile,"[ 0.         45.8996413  60.2619528  68.29268828 80.47314567 83.5470094
 89.94877075 92.52058419 99.98187601]","[0.12136364 0.13409091 0.12318182 0.12272727 0.12       0.11818182
 0.13363636 0.12363636]",0.6336249447977809,0.5014503776386545,1
54,decision-tree,"[  0.          19.86541843  27.68508244  58.67534065  70.81499481
  84.99325943  90.00118637  95.00764084 100.        ]","[0.05136364 0.03954545 0.14363636 0.16454545 0.255      0.11954545
 0.20772727 0.01863636]",0.6341931589500092,0.49255774884787806,1
55,kmeans,"[  0.          19.23289808  40.13485488  51.17356705  61.15452871
  68.28711072  79.28057568  84.49945018 100.        ]","[0.05136364 0.05454545 0.06590909 0.1        0.10681818 0.09590909
 0.17954545 0.34590909]",0.6895931265616952,0.5175233475479892,1
56,random-forest,"[  0.          17.95038319  19.86229801  28.60941982  58.6522274
  70.64942169  74.58172989  84.9906311   90.00490189 100.        ]","[0.02863636 0.02272727 0.03954545 0.14363636 0.16454545 0.02045455
 0.23454545 0.11954545 0.22636364]",0.6637309538775145,0.43381456088970205,1
57,equal-width,"[  0.          11.11111111  22.22222222  33.33333333  44.44444444
  55.55555556  66.66666667  77.77777778  88.88888889 100.        ]","[0.         0.07318182 0.02090909 0.02136364 0.09454545 0.13818182
 0.10090909 0.27363636 0.27727273]",0.6765345952764901,0.4396422605017074,1
58,equal-width-data,"[  0.     23.783  33.308  42.833  52.358  61.882  71.407  80.932  90.457
 100.   ]","[0.08       0.01409091 0.01636364 0.07227273 0.08909091 0.13136364
 0.09818182 0.27227273 0.22636364]",0.5854594885577108,0.448508573965251,1
59,equal-frequency,"[  0.     43.132  56.954  65.443  77.062  81.809  84.968  90.602  92.88
 100.   ]","[0.11227273 0.10681818 0.11590909 0.11409091 0.09318182 0.11181818
 0.11954545 0.09954545 0.12681818]",0.5615767113861114,0.43799946103214915,1
60,kbins,"[ 0.         23.7829105  33.30778119 42.83265188 52.35752257 61.88239325
 71.40726394 80.93213463 90.45700532 99.98187601]","[0.08       0.01409091 0.01636364 0.07227273 0.08909091 0.13136364
 0.09818182 0.27227273 0.22318182]",0.5884439072628274,0.4485377587525259,1
61,kbins-quantile,"[ 0.         43.13222818 56.95370972 65.44340921 77.06156328 81.80940818
 84.96771717 90.60174166 92.88047024 99.98187601]","[0.11227273 0.10681818 0.11590909 0.11409091 0.09318182 0.11181818
 0.11954545 0.09954545 0.12363636]",0.5712195659352783,0.43802896021074655,1
62,decision-tree,"[  0.          19.86541843  27.68508244  58.67534065  70.81499481
  79.99577713  84.99325943  90.00118637  95.00764084 100.        ]","[0.05136364 0.03954545 0.14363636 0.16454545 0.07545455 0.17954545
 0.11954545 0.20772727 0.01863636]",0.49914465307660294,0.4300339443917994,1
63,kmeans,"[  0.          19.23289808  38.09224817  50.25996584  60.58641046
  67.49383983  76.63535308  82.6117142   90.07021383 100.        ]","[0.05136364 0.05136364 0.05727273 0.09545455 0.10727273 0.07409091
 0.14227273 0.19454545 0.22636364]",0.569500312477309,0.4509477054224261,1
64,random-forest,"[  0.          17.86551762  19.59520647  28.49133968  55.13899358
  59.9345932   72.90135956  79.90346273  84.86720276  89.99906625
 100.        ]","[0.02863636 0.02272727 0.03954545 0.11909091 0.03181818 0.16636364
 0.06636364 0.17954545 0.08545455 0.26045455]",0.5839410183558693,0.3794654120203529,1
65,equal-width,[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100.],"[0.         0.05136364 0.03954545 0.01363636 0.04863636 0.08863636
 0.15136364 0.08136364 0.265      0.26045455]",0.6087653394428434,0.3933242758142702,2
66,equal-width-data,"[  0.     22.83   31.403  39.975  48.548  57.12   65.692  74.265  82.837
  91.409 100.   ]","[0.07318182 0.01863636 0.01272727 0.03909091 0.08454545 0.10681818
 0.08454545 0.15954545 0.25090909 0.17      ]",0.5290228975288014,0.4001952951142428,1
67,equal-frequency,"[  0.     36.663  54.3    63.186  70.887  80.473  82.947  87.139  90.959
  93.066 100.   ]","[0.09954545 0.10363636 0.10590909 0.09       0.10227273 0.07772727
 0.12590909 0.06863636 0.145      0.08136364]",0.4721801889178011,0.38089762049514575,1
68,kbins,"[ 0.         22.83042343 31.40280705 39.97519067 48.54757429 57.11995791
 65.69234153 74.26472515 82.83710877 91.40949239 99.98187601]","[0.07318182 0.01863636 0.01272727 0.03909091 0.08454545 0.10681818
 0.08454545 0.15954545 0.25090909 0.16681818]",0.5353130476792929,0.40022176911682017,1
69,kbins-quantile,"[ 0.         36.66340424 54.29987269 63.18571068 70.88704299 80.47314567
 82.94690875 87.1388764  90.95874652 93.06558818 99.98187601]","[0.09954545 0.10363636 0.10590909 0.09       0.10227273 0.07772727
 0.12590909 0.06863636 0.145      0.07818182]",0.48663626275989647,0.3809254348290966,1
70,decision-tree,"[  0.          19.86541843  27.68508244  40.58743858  58.67534065
  70.81499481  79.99577713  84.99325943  90.00118637  95.00764084
 100.        ]","[0.05136364 0.03954545 0.015      0.12863636 0.16454545 0.07545455
 0.17954545 0.11954545 0.20772727 0.01863636]",0.4202027854289643,0.36879265083618185,1
71,kmeans,"[  0.          19.23289808  37.10582747  47.65684131  54.41277663
  61.93874595  67.8892924   76.59476425  82.50384007  89.7956641
 100.        ]","[0.05136364 0.04954545 0.035      0.06727273 0.06863636 0.09090909
 0.07409091 0.14227273 0.16045455 0.26045455]",0.5169404862831672,0.4078566758585067,1
72,random-forest,"[  0.          17.95038319  19.86229801  39.69093132  45.09656906
  58.67534065  70.00328445  73.47035599  79.98640823  84.91878891
  90.00490189 100.        ]","[0.02863636 0.02272727 0.05318182 0.01681818 0.11318182 0.16454545
 0.01454545 0.06090909 0.17954545 0.11954545 0.22636364]",0.5040622985317,0.3438968637733867,1
73,equal-width,"[  0.           9.09090909  18.18181818  27.27272727  36.36363636
  45.45454545  54.54545455  63.63636364  72.72727273  81.81818182
  90.90909091 100.        ]","[0.         0.03863636 0.05227273 0.00863636 0.02181818 0.08181818
 0.10590909 0.09909091 0.13409091 0.23136364 0.22636364]",0.5713918126401092,0.3536255532070329,1
74,equal-width-data,"[  0.     22.051  29.844  37.637  45.43   53.223  61.016  68.81   76.603
  84.396  92.189 100.   ]","[0.07318182 0.01772727 0.01       0.02045455 0.07090909 0.07954545
 0.10681818 0.05818182 0.21727273 0.21909091 0.12681818]",0.43899530322707736,0.3583663347515429,1
75,equal-frequency,"[  0.     29.907  52.456  61.56   67.613  78.038  81.578  83.858  88.848
  91.337  93.276 100.   ]","[0.09090909 0.09181818 0.08909091 0.09090909 0.09727273 0.08227273
 0.07909091 0.10136364 0.10727273 0.08863636 0.08136364]",0.4213524524089779,0.32876867051750047,1
76,kbins,"[ 0.         22.05111583 29.84419185 37.63726786 45.43034388 53.2234199
 61.01649592 68.80957194 76.60264796 84.39572397 92.18879999 99.98187601]","[0.07318182 0.01772727 0.01       0.02045455 0.07090909 0.07954545
 0.10681818 0.05818182 0.21727273 0.21909091 0.12363636]",0.4486381577762444,0.3583936767606726,1
77,kbins-quantile,"[ 0.         29.90676141 52.45647003 61.55965737 67.61266626 78.03766642
 81.57804981 83.85819885 88.84827189 91.33694032 93.27642922 99.98187601]","[0.09090909 0.09181818 0.08909091 0.09090909 0.09727273 0.08227273
 0.07909091 0.10136364 0.10727273 0.08863636 0.07818182]",0.43580852625107325,0.32879194089614183,1
78,decision-tree,"[  0.          19.86541843  27.68508244  40.58743858  58.67534065
  70.81499481  75.00139618  79.99577713  84.99325943  90.00118637
  95.00764084 100.        ]","[0.05136364 0.03954545 0.015      0.12863636 0.16454545 0.02636364
 0.04909091 0.17954545 0.11954545 0.20772727 0.01863636]",0.34608995954318666,0.3294492749765656,1
79,kmeans,"[  0.          17.31474515  22.64294772  36.85209807  47.48725972
  54.31870579  61.92098577  67.8892924   76.51473451  82.45375487
  89.76580336 100.        ]","[0.02863636 0.04454545 0.02636364 0.03636364 0.06727273 0.06863636
 0.09090909 0.07409091 0.14227273 0.16045455 0.26045455]",0.4789071757390254,0.36236390508704064,1
80,random-forest,"[  0.          17.97989559  19.8684871   28.45756245  43.02031222
  52.73061943  57.70353109  69.99350669  73.62441982  78.21354398
  84.85377988  90.00042412 100.        ]","[0.02863636 0.02272727 0.03954545 0.02136364 0.07045455 0.04545455
 0.165      0.02045455 0.04636364 0.19409091 0.11954545 0.22636364]",0.421876175052432,0.31297645256945206,1
81,equal-width,"[  0.           8.33333333  16.66666667  25.          33.33333333
  41.66666667  50.          58.33333333  66.66666667  75.
  83.33333333  91.66666667 100.        ]","[0.         0.02090909 0.06454545 0.00863636 0.01409091 0.045
 0.08136364 0.11363636 0.07136364 0.20181818 0.20863636 0.17      ]",0.5070478835187363,0.31859571001861,1
82,equal-width-data,"[  0.     21.402  28.545  35.689  42.833  49.976  57.12   64.264  71.407
  78.551  85.695  92.838 100.   ]","[0.06954545 0.02136364 0.00772727 0.01181818 0.04272727 0.075
 0.09681818 0.07818182 0.05681818 0.21409091 0.19909091 0.12681818]",0.3944784303199509,0.3211457037378489,1
83,equal-frequency,"[  0.     24.273  51.098  60.262  65.443  73.872  80.473  82.658  84.968
  89.949  91.542  93.448 100.   ]","[0.08545455 0.08636364 0.08363636 0.07954545 0.07863636 0.08772727
 0.07772727 0.075      0.08545455 0.09045455 0.08863636 0.08136364]",0.36306713698661486,0.280081343235985,1
84,kbins,"[ 0.         21.40169283 28.54534584 35.68899886 42.83265188 49.97630489
 57.11995791 64.26361093 71.40726394 78.55091696 85.69456998 92.83822299
 99.98187601]","[0.06954545 0.02136364 0.00772727 0.01181818 0.04272727 0.075
 0.09681818 0.07818182 0.05681818 0.21409091 0.19909091 0.12363636]",0.4041212848691179,0.3211704996136616,1
85,kbins-quantile,"[ 0.         24.27287568 51.09769102 60.2619528  65.44340921 73.87180979
 80.47314567 82.65782848 84.96771717 89.94877075 91.54226186 93.44783549
 99.98187601]","[0.08545455 0.08636364 0.08363636 0.07954545 0.07863636 0.08772727
 0.07772727 0.075      0.08545455 0.09045455 0.08863636 0.07818182]",0.3775232108287102,0.28010477738774153,1
86,decision-tree,"[  0.          19.86541843  27.68508244  40.58743858  55.07598877
  58.67534065  70.81499481  75.00139618  79.99577713  84.99325943
  90.00118637  95.00764084 100.        ]","[0.05136364 0.03954545 0.015      0.10409091 0.02454545 0.16454545
 0.02636364 0.04909091 0.17954545 0.11954545 0.20772727 0.01863636]",0.28480695668469114,0.2894139784105042,1
87,kmeans,"[  0.          17.31474515  22.64294772  36.85209807  47.11603154
  53.92113735  61.84603472  67.86558923  76.2129997   81.72517974
  85.85087032  90.86425509 100.        ]","[0.02863636 0.04454545 0.02636364 0.03636364 0.05636364 0.07954545
 0.09090909 0.07409091 0.10545455 0.13181818 0.09954545 0.22636364]",0.40689394797135003,0.31119269265356697,1
88,random-forest,"[  0.          17.97140598  19.86437829  28.60912609  45.08618927
  53.12627347  55.24862417  59.9288559   70.41964467  73.64875539
  79.85091019  84.81857681  90.00602086 100.        ]","[0.02863636 0.02272727 0.03954545 0.03045455 0.07090909 0.01772727
 0.03181818 0.15727273 0.01454545 0.06090909 0.17954545 0.11954545
 0.22636364]",0.38241846035790017,0.29072249763157354,1
89,equal-width,"[  0.           7.69230769  15.38461538  23.07692308  30.76923077
  38.46153846  46.15384615  53.84615385  61.53846154  69.23076923
  76.92307692  84.61538462  92.30769231 100.        ]","[0.         0.01272727 0.06727273 0.01136364 0.01136364 0.02636364
 0.06318182 0.07954545 0.12136364 0.04363636 0.21727273 0.21909091
 0.12681818]",0.41284268571316496,0.2870223957915786,1
90,equal-width-data,"[  0.     20.852  27.446  34.04   40.635  47.229  53.823  60.417  67.011
  73.605  80.199  86.794  93.388 100.   ]","[0.06136364 0.02954545 0.00409091 0.01090909 0.03       0.05636364
 0.06318182 0.10727273 0.05090909 0.08772727 0.18818182 0.22909091
 0.08136364]",0.33538134102253314,0.2873575200467443,1
91,equal-frequency,"[  0.     23.121  49.719  57.843  63.469  68.901  78.524  81.406  83.365
  86.695  90.363  91.791  93.635 100.   ]","[0.08       0.07318182 0.075      0.08090909 0.06954545 0.08136364
 0.08227273 0.07909091 0.06818182 0.08409091 0.05636364 0.08863636
 0.08136364]",0.3182652923294568,0.23520475340358016,1
92,kbins,"[ 0.         20.85218106 27.4463223  34.04046355 40.63460479 47.22874604
 53.82288729 60.41702853 67.01116978 73.60531103 80.19945227 86.79359352
 93.38773476 99.98187601]","[0.06136364 0.02954545 0.00409091 0.01090909 0.03       0.05636364
 0.06318182 0.10727273 0.05090909 0.08772727 0.18818182 0.22909091
 0.07818182]",0.34983741486462827,0.2873805265542958,1
93,kbins-quantile,"[ 0.         23.12085192 49.71932459 57.84315938 63.4688519  68.90104247
 78.52356365 81.40641759 83.36470165 86.69493339 90.36274988 91.79093787
 93.63451547 99.98187601]","[0.08       0.07318182 0.075      0.08090909 0.06954545 0.08136364
 0.08227273 0.07909091 0.06818182 0.08409091 0.05636364 0.08863636
 0.07818182]",0.3327213661715518,0.23522756272128087,1
94,decision-tree,"[  0.          18.05730057  19.86541843  27.68508244  40.58743858
  55.07598877  58.67534065  70.81499481  75.00139618  79.99577713
  84.99325943  90.00118637  95.00764084 100.        ]","[0.03863636 0.01272727 0.03954545 0.015      0.10409091 0.02454545
 0.16454545 0.02636364 0.04909091 0.17954545 0.11954545 0.20772727
 0.01863636]",0.27485907898457074,0.25071108247540763,1
95,kmeans,"[  0.          17.10255744  22.29851021  35.94890456  45.45516759
  50.96559458  56.06847795  62.18458964  67.95715542  76.16324091
  81.36128858  85.04234527  90.63030837 100.        ]","[0.02863636 0.04454545 0.02545455 0.02272727 0.03863636 0.05909091
 0.06727273 0.07636364 0.07409091 0.10545455 0.13181818 0.09954545
 0.22636364]",0.3656521258095411,0.2887868741097963,1
96,random-forest,"[  0.          17.97140598  19.59321477  28.08385614  42.82752756
  45.39782348  52.23543094  55.20005637  59.56622138  70.35369756
  74.39751346  79.92235506  84.83364663  89.99976437 100.        ]","[0.02863636 0.02272727 0.03954545 0.01954545 0.01090909 0.06136364
 0.02727273 0.03181818 0.15727273 0.02045455 0.055      0.17954545
 0.08545455 0.26045455]",0.35397021727920674,0.266589097445048,1
97,equal-width,"[  0.           7.14285714  14.28571429  21.42857143  28.57142857
  35.71428571  42.85714286  50.          57.14285714  64.28571429
  71.42857143  78.57142857  85.71428571  92.85714286 100.        ]","[0.         0.00363636 0.06590909 0.02136364 0.00772727 0.01181818
 0.04272727 0.075      0.09681818 0.07818182 0.05681818 0.21409091
 0.19909091 0.12681818]",0.37822456787501035,0.25810476049690456,1
98,equal-width-data,"[  0.     20.381  26.504  32.627  38.751  44.874  50.997  57.12   63.243
  69.366  75.489  81.612  87.736  93.859 100.   ]","[0.06136364 0.02954545 0.00272727 0.00909091 0.01272727 0.04454545
 0.06818182 0.08090909 0.08409091 0.03227273 0.11681818 0.16272727
 0.21363636 0.08136364]",0.29106229100058656,0.2562262146970101,1
99,equal-frequency,"[  0.     22.278  48.295  55.981  62.493  67.068  75.821  80.473  82.236
  84.075  87.939  90.744  92.046  93.763 100.   ]","[0.07318182 0.07045455 0.06636364 0.07636364 0.07636364 0.06272727
 0.07590909 0.07772727 0.075      0.05090909 0.06863636 0.09954545
 0.04545455 0.08136364]",0.26219949402959175,0.19521054209146438,1
100,kbins,"[ 0.         20.38117097 26.50430212 32.62743328 38.75056444 44.8736956
 50.99682675 57.11995791 63.24308907 69.36622022 75.48935138 81.61248254
 87.7356137  93.85874485 99.98187601]","[0.06136364 0.02954545 0.00272727 0.00909091 0.01272727 0.04454545
 0.06818182 0.08090909 0.08409091 0.03227273 0.11681818 0.16272727
 0.21363636 0.07818182]",0.3055183648426816,0.25624803499691606,1
101,kbins-quantile,"[ 0.         22.27765047 48.29525982 55.98084666 62.49259602 67.06784209
 75.82130147 80.47314567 82.23626029 84.07506151 87.93866291 90.74410822
 92.04618482 93.76265689 99.98187601]","[0.07318182 0.07045455 0.06636364 0.07636364 0.07636364 0.06272727
 0.07590909 0.07772727 0.075      0.05090909 0.06863636 0.09954545
 0.04545455 0.07818182]",0.27665556787168666,0.19523053665547196,1
102,decision-tree,"[  0.          18.05730057  19.86541843  27.68508244  40.58743858
  45.41542816  55.07598877  58.67534065  70.81499481  75.00139618
  79.99577713  84.99325943  90.00118637  95.00764084 100.        ]","[0.03863636 0.01272727 0.03954545 0.015      0.01545455 0.08863636
 0.02454545 0.16454545 0.02636364 0.04909091 0.17954545 0.11954545
 0.20772727 0.01863636]",0.2400234040015965,0.22682215534470807,1
103,kmeans,"[  0.          16.90464637  22.02168309  36.47016551  46.6014647
  52.83330468  59.27529035  63.56797243  68.40683895  75.84539279
  80.75430777  83.70632786  87.6484457   91.24754599 100.        ]","[0.02090909 0.05227273 0.02636364 0.02954545 0.05363636 0.05909091
 0.06727273 0.06954545 0.04681818 0.07590909 0.12       0.08363636
 0.125      0.17      ]",0.27499545184000607,0.2408367101336225,1
104,random-forest,"[  0.          17.97140598  19.77650329  28.58773163  43.22511646
  45.45636068  54.05424227  56.80527415  59.9288559   70.18492889
  73.61146545  75.14619173  79.99998583  84.88114875  89.99986485
 100.        ]","[0.02863636 0.02272727 0.03954545 0.02136364 0.00909091 0.08181818
 0.01590909 0.02272727 0.15727273 0.01454545 0.01181818 0.04909091
 0.17954545 0.08545455 0.26045455]",0.3287924408774189,0.231129049288743,1
105,equal-width,"[  0.           6.66666667  13.33333333  20.          26.66666667
  33.33333333  40.          46.66666667  53.33333333  60.
  66.66666667  73.33333333  80.          86.66666667  93.33333333
 100.        ]","[0.         0.         0.05136364 0.03954545 0.00318182 0.01045455
 0.02454545 0.06318182 0.04954545 0.10636364 0.06545455 0.06090909
 0.215      0.22909091 0.08136364]",0.34484568729726717,0.231288735369775,1
106,equal-width-data,"[  0.     19.973  25.688  31.403  37.118  42.833  48.548  54.262  59.977
  65.692  71.407  77.122  82.837  88.552  94.267 100.   ]","[0.05136364 0.03954545 0.00090909 0.00909091 0.00954545 0.03318182
 0.05954545 0.03863636 0.09318182 0.06818182 0.04590909 0.13
 0.14363636 0.23136364 0.04590909]",0.23180149600518285,0.22721496983660527,1
