ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
123,equal-frequency,"[  0.      5.      9.     14.     20.     24.     28.     31.     35.
  39.     50.     63.882  78.     87.     95.    103.    113.647 140.   ]","[0.055      0.05       0.05863636 0.06409091 0.06136364 0.06136364
 0.04363636 0.06681818 0.06090909 0.06545455 0.05954545 0.05636364
 0.06045455 0.05772727 0.05818182 0.06136364 0.05909091]",0.08338246093154333,0.18350620884219615,1
124,kbins,"[  0.           8.23529412  16.47058824  24.70588235  32.94117647
  41.17647059  49.41176471  57.64705882  65.88235294  74.11764706
  82.35294118  90.58823529  98.82352941 107.05882353 115.29411765
 123.52941176 131.76470588 140.        ]","[0.105      0.09045455 0.10681818 0.12818182 0.13181818 0.025
 0.02590909 0.03818182 0.03818182 0.04363636 0.06136364 0.05227273
 0.05909091 0.04318182 0.03590909 0.00818182 0.00681818]",0.19238674073507112,0.06787994281468701,1
125,kbins-quantile,"[  0.           5.           9.          14.          20.
  24.          28.          31.          35.          39.
  50.          63.88235294  78.          87.          95.
 103.         113.64705882 140.        ]","[0.055      0.05       0.05863636 0.06409091 0.06136364 0.06136364
 0.04363636 0.06681818 0.06090909 0.06545455 0.05954545 0.05636364
 0.06045455 0.05772727 0.05818182 0.06136364 0.05909091]",0.08338246093154333,0.1835060004875545,1
126,decision-tree,"[  0.   19.5  21.5  28.5  30.5  37.5  40.5  59.5  67.5  70.5  79.5  88.5
  90.5  94.5  99.5 118.5 120.5 140. ]","[0.22772727 0.02863636 0.10954545 0.02818182 0.11545455 0.05090909
 0.06318182 0.03772727 0.01318182 0.03590909 0.06545455 0.01863636
 0.02681818 0.03590909 0.11227273 0.01090909 0.01954545]",0.29011769796569475,0.11548527866088565,1
127,kmeans,"[  0.           3.11864407   8.96296296  14.46478873  20.70879121
  27.          33.40930233  39.04624277  48.5         59.01923077
  68.27631579  76.69230769  84.23846154  91.88709677  99.6460177
 108.04424779 117.14545455 140.        ]","[0.04272727 0.06227273 0.07272727 0.06590909 0.10681818 0.09318182
 0.09681818 0.04227273 0.04090909 0.04136364 0.03363636 0.05136364
 0.05363636 0.05363636 0.05636364 0.04909091 0.03727273]",0.10571681347333772,0.1397471945547959,1
128,random-forest,"[  0.           0.5          7.44117647  15.38235294  22.32352941
  29.26470588  36.20588235  42.14705882  51.08823529  60.02941176
  65.97058824  72.91176471  79.85294118  86.79411765  93.73529412
 100.67647059 107.61764706 114.55882353 140.        ]","[0.01227273 0.07954545 0.09227273 0.09227273 0.10636364 0.10909091
 0.07545455 0.02545455 0.04045455 0.01818182 0.03       0.02909091
 0.05318182 0.05272727 0.05       0.03954545 0.04       0.05409091]",0.11868500982811381,0.11794553182313827,1
129,equal-width,"[  0.           7.77777778  15.55555556  23.33333333  31.11111111
  38.88888889  46.66666667  54.44444444  62.22222222  70.
  77.77777778  85.55555556  93.33333333 101.11111111 108.88888889
 116.66666667 124.44444444 132.22222222 140.        ]","[0.09181818 0.09227273 0.105      0.12363636 0.10909091 0.05681818
 0.02363636 0.03909091 0.02818182 0.03363636 0.05363636 0.05954545
 0.05681818 0.04045455 0.04045455 0.03090909 0.00909091 0.00590909]",0.15646267146273263,0.04438605367926263,1
130,equal-width-data,"[  0.      7.778  15.556  23.333  31.111  38.889  46.667  54.444  62.222
  70.     77.778  85.556  93.333 101.111 108.889 116.667 124.444 132.222
 140.   ]","[0.09181818 0.09227273 0.105      0.12363636 0.10909091 0.05681818
 0.02363636 0.03909091 0.02818182 0.03363636 0.05363636 0.05954545
 0.05681818 0.04045455 0.04045455 0.03090909 0.00909091 0.00590909]",0.15646267146273263,0.04438622509747758,1
131,equal-frequency,"[  0.      5.      9.     14.     19.     23.     27.     30.     34.
  37.     40.     57.     69.     81.     89.     96.    104.667 114.
 140.   ]","[0.055      0.05       0.05863636 0.05363636 0.05909091 0.055
 0.05136364 0.06090909 0.04818182 0.04863636 0.06818182 0.05636364
 0.05181818 0.05909091 0.05636364 0.05636364 0.05227273 0.05909091]",0.05435894116161011,0.16806879369045236,1
132,kbins,"[  0.           7.77777778  15.55555556  23.33333333  31.11111111
  38.88888889  46.66666667  54.44444444  62.22222222  70.
  77.77777778  85.55555556  93.33333333 101.11111111 108.88888889
 116.66666667 124.44444444 132.22222222 140.        ]","[0.09181818 0.09227273 0.105      0.12363636 0.10909091 0.05681818
 0.02363636 0.03909091 0.02818182 0.03363636 0.05363636 0.05954545
 0.05681818 0.04045455 0.04045455 0.03090909 0.00909091 0.00590909]",0.15646267146273263,0.04438605367926263,1
133,kbins-quantile,"[  0.           5.           9.          14.          19.
  23.          27.          30.          34.          37.
  40.          57.          69.          81.          89.
  96.         104.66666667 114.         140.        ]","[0.055      0.05       0.05863636 0.05363636 0.05909091 0.055
 0.05136364 0.06090909 0.04818182 0.04863636 0.06818182 0.05636364
 0.05181818 0.05909091 0.05636364 0.05636364 0.05227273 0.05909091]",0.05435894116161011,0.16806903775319582,1
134,decision-tree,"[  0.   19.5  21.5  28.5  30.5  37.5  40.5  59.5  67.5  70.5  79.5  88.5
  90.5  94.5  96.5  99.5 118.5 120.5 140. ]","[0.22772727 0.02863636 0.10954545 0.02818182 0.11545455 0.05090909
 0.06318182 0.03772727 0.01318182 0.03590909 0.06545455 0.01863636
 0.02681818 0.01363636 0.02227273 0.11227273 0.01090909 0.01954545]",0.27897308157093725,0.08536299822211335,1
135,kmeans,"[  0.           2.55405405   8.43902439  14.97590361  21.56684492
  27.06779661  32.55121951  38.85520362  50.10526316  59.32653061
  68.27631579  76.69230769  84.23846154  91.88709677  99.35576923
 105.89333333 111.50704225 118.1744186  140.        ]","[0.03318182 0.07181818 0.07272727 0.07863636 0.09409091 0.08
 0.09136364 0.06954545 0.03227273 0.04136364 0.03363636 0.05136364
 0.05363636 0.05363636 0.03590909 0.03818182 0.03818182 0.03045455]",0.08579376159305052,0.09989162016655728,1
136,random-forest,"[  0.           0.5          7.83333333  14.83333333  21.5
  28.16666667  34.83333333  41.          49.16666667  55.83333333
  62.5         69.16666667  75.83333333  81.5         88.16666667
  94.83333333 101.5        108.16666667 114.83333333 140.        ]","[0.01227273 0.07954545 0.08590909 0.07863636 0.10954545 0.095
 0.09954545 0.02681818 0.01727273 0.03681818 0.02818182 0.02363636
 0.03090909 0.05181818 0.04545455 0.05181818 0.04045455 0.03227273
 0.05409091]",0.09476500029936863,0.10100408210004452,1
137,equal-width,"[  0.           7.36842105  14.73684211  22.10526316  29.47368421
  36.84210526  44.21052632  51.57894737  58.94736842  66.31578947
  73.68421053  81.05263158  88.42105263  95.78947368 103.15789474
 110.52631579 117.89473684 125.26315789 132.63157895 140.        ]","[0.09181818 0.08590909 0.09863636 0.10636364 0.10909091 0.08454545
 0.01636364 0.02590909 0.03636364 0.02909091 0.04       0.05181818
 0.05636364 0.05136364 0.03954545 0.03954545 0.02318182 0.00818182
 0.00590909]",0.12893031961219326,0.02179648943529111,1
138,equal-width-data,"[  0.      7.368  14.737  22.105  29.474  36.842  44.211  51.579  58.947
  66.316  73.684  81.053  88.421  95.789 103.158 110.526 117.895 125.263
 132.632 140.   ]","[0.09181818 0.08590909 0.09863636 0.10636364 0.10909091 0.08454545
 0.01636364 0.02590909 0.03636364 0.02909091 0.04       0.05181818
 0.05636364 0.05136364 0.03954545 0.03954545 0.02318182 0.00818182
 0.00590909]",0.12893031961219326,0.02179644559305005,1
139,equal-frequency,"[  0.      4.      9.     13.     18.     22.     25.     29.     32.
  35.     39.     47.     60.     73.579  83.     90.     98.    106.
 115.    140.   ]","[0.04272727 0.06227273 0.04681818 0.05454545 0.05       0.04590909
 0.06363636 0.04681818 0.04818182 0.06090909 0.05681818 0.045
 0.06045455 0.04909091 0.05272727 0.05409091 0.05318182 0.05272727
 0.05409091]",0.026461048827292166,0.15205755073889682,1
140,kbins,"[  0.           7.36842105  14.73684211  22.10526316  29.47368421
  36.84210526  44.21052632  51.57894737  58.94736842  66.31578947
  73.68421053  81.05263158  88.42105263  95.78947368 103.15789474
 110.52631579 117.89473684 125.26315789 132.63157895 140.        ]","[0.09181818 0.08590909 0.09863636 0.10636364 0.10909091 0.08454545
 0.01636364 0.02590909 0.03636364 0.02909091 0.04       0.05181818
 0.05636364 0.05136364 0.03954545 0.03954545 0.02318182 0.00818182
 0.00590909]",0.12893031961219326,0.02179648943529111,1
141,kbins-quantile,"[  0.           4.           9.          13.          18.
  22.          25.          29.          32.          35.
  39.          47.          60.          73.57894737  83.
  90.          98.         106.         115.         140.        ]","[0.04272727 0.06227273 0.04681818 0.05454545 0.05       0.04590909
 0.06363636 0.04681818 0.04818182 0.06090909 0.05681818 0.045
 0.06045455 0.04909091 0.05272727 0.05409091 0.05318182 0.05272727
 0.05409091]",0.026461048827292166,0.15205757731765968,1
142,decision-tree,"[  0.   19.5  21.5  28.5  30.5  37.5  40.5  59.5  67.5  70.5  79.5  88.5
  90.5  94.5  96.5  97.5  99.5 118.5 120.5 140. ]","[0.22772727 0.02863636 0.10954545 0.02818182 0.11545455 0.05090909
 0.06318182 0.03772727 0.01318182 0.03590909 0.06545455 0.01863636
 0.02681818 0.01363636 0.005      0.01727273 0.11227273 0.01090909
 0.01954545]",0.2723499398211725,0.05560367395445931,1
143,kmeans,"[  0.           2.55405405   7.95652174  12.87394958  17.46875
  21.48148148  26.1183432   30.98830409  35.51724138  40.1589404
  50.49056604  59.46534653  69.48351648  79.75862069  87.15652174
  93.69       100.57009346 108.99130435 117.70103093 140.        ]","[0.03318182 0.05863636 0.06       0.05454545 0.05       0.075
 0.06272727 0.08181818 0.08454545 0.03090909 0.03227273 0.04590909
 0.04090909 0.05954545 0.04636364 0.05       0.04727273 0.04909091
 0.03727273]",0.03501463896995671,0.12201126448454858,1
144,random-forest,"[  0.           0.5          6.81578947  13.13157895  19.44736842
  25.76315789  32.07894737  38.39473684  43.71052632  52.02631579
  58.34210526  64.65789474  70.97368421  77.28947368  83.60526316
  89.92105263  96.23684211 102.55263158 108.86842105 115.18421053
 140.        ]","[0.01227273 0.06818182 0.08318182 0.06409091 0.08909091 0.11363636
 0.09136364 0.04863636 0.02681818 0.02136364 0.02954545 0.02636364
 0.02863636 0.03909091 0.04363636 0.04909091 0.04454545 0.03409091
 0.03545455 0.05090909]",0.059977370816249764,0.08441082328095428,1
145,equal-width,"[  0.   7.  14.  21.  28.  35.  42.  49.  56.  63.  70.  77.  84.  91.
  98. 105. 112. 119. 126. 133. 140.]","[0.08045455 0.08318182 0.08       0.10681818 0.11045455 0.10136364
 0.02045455 0.02181818 0.03681818 0.02818182 0.02909091 0.04363636
 0.05227273 0.04545455 0.04863636 0.04272727 0.03818182 0.01636364
 0.00818182 0.00590909]",0.11060530374199506,0.0,1
146,equal-width-data,"[  0.   7.  14.  21.  28.  35.  42.  49.  56.  63.  70.  77.  84.  91.
  98. 105. 112. 119. 126. 133. 140.]","[0.08045455 0.08318182 0.08       0.10681818 0.11045455 0.10136364
 0.02045455 0.02181818 0.03681818 0.02818182 0.02909091 0.04363636
 0.05227273 0.04545455 0.04863636 0.04272727 0.03818182 0.01636364
 0.00818182 0.00590909]",0.11060530374199506,0.0,1
147,equal-frequency,"[  0.     4.     8.    12.    17.    21.    24.    27.    31.    34.
  37.    40.    54.    65.    77.    84.25  91.    99.   107.   116.
 140.  ]","[0.04272727 0.04909091 0.05       0.05363636 0.04818182 0.04545455
 0.04227273 0.06272727 0.04954545 0.04818182 0.04863636 0.05909091
 0.04863636 0.05045455 0.05136364 0.04454545 0.05227273 0.05136364
 0.05090909 0.05090909]",0.0,0.13630432578541507,1
148,kbins,"[  0.   7.  14.  21.  28.  35.  42.  49.  56.  63.  70.  77.  84.  91.
  98. 105. 112. 119. 126. 133. 140.]","[0.08045455 0.08318182 0.08       0.10681818 0.11045455 0.10136364
 0.02045455 0.02181818 0.03681818 0.02818182 0.02909091 0.04363636
 0.05227273 0.04545455 0.04863636 0.04272727 0.03818182 0.01636364
 0.00818182 0.00590909]",0.11060530374199506,0.0,1
149,kbins-quantile,"[  0.     4.     8.    12.    17.    21.    24.    27.    31.    34.
  37.    40.    54.    65.    77.    84.25  91.    99.   107.   116.
 140.  ]","[0.04272727 0.04909091 0.05       0.05363636 0.04818182 0.04545455
 0.04227273 0.06272727 0.04954545 0.04818182 0.04863636 0.05909091
 0.04863636 0.05045455 0.05136364 0.04454545 0.05227273 0.05136364
 0.05090909 0.05090909]",0.0,0.13630432578541507,1
150,decision-tree,"[  0.    2.5  19.5  21.5  28.5  30.5  37.5  40.5  59.5  67.5  70.5  79.5
  88.5  90.5  94.5  96.5  97.5  99.5 118.5 120.5 140. ]","[0.03318182 0.19454545 0.02863636 0.10954545 0.02818182 0.11545455
 0.05090909 0.06318182 0.03772727 0.01318182 0.03590909 0.06545455
 0.01863636 0.02681818 0.01363636 0.005      0.01727273 0.11227273
 0.01090909 0.01954545]",0.2128937992046971,0.04333934130255179,1
151,kmeans,"[  0.           2.00826446   7.47272727  12.87394958  18.14503817
  22.95652174  27.52413793  31.53731343  35.51724138  40.1589404
  50.49056604  59.32653061  68.27631579  76.69230769  83.38834951
  89.54        94.77941176 100.57009346 108.99130435 117.70103093
 140.        ]","[0.03318182 0.05863636 0.06       0.06545455 0.05909091 0.07409091
 0.06227273 0.06318182 0.08454545 0.03090909 0.03227273 0.04136364
 0.03363636 0.04363636 0.04363636 0.03545455 0.045      0.04727273
 0.04909091 0.03727273]",0.016906218816086338,0.09907274792300902,1
152,random-forest,"[  0.    0.5   6.5  13.5  19.5  25.5  31.5  37.5  42.5  50.5  56.5  62.5
  68.5  73.5  79.5  85.5  91.5  97.5 103.5 109.5 115.5 140. ]","[0.01227273 0.06818182 0.08318182 0.06409091 0.08909091 0.09590909
 0.09681818 0.05772727 0.02409091 0.01727273 0.03272727 0.02363636
 0.01909091 0.02636364 0.04636364 0.04681818 0.03636364 0.04363636
 0.03454545 0.03090909 0.05090909]",0.03753766115524082,0.06631761888590482,1
153,bayesian-blocks,[  0.    0.5  19.5  40.5  55.5  79.5 101.5 120.5 140. ],"[0.01227273 0.21545455 0.33272727 0.04409091 0.10590909 0.16272727
 0.10727273 0.01954545]",0.6228742463054573,0.34729465440213336,1
