ID,method,bins,distribution,kl_d,l2_norm,gpt_prompt
46,decision-tree,[  0.   30.5  34.5  54.5  60.5  80.5 107.5 145. ],"[0.28090909 0.01409091 0.24181818 0.12590909 0.22181818 0.02454545
 0.09090909]",0.7709945634763035,0.5351562768583962,1
47,kmeans,"[  0.          10.95419847  24.18598383  41.12121212  56.85074627
  69.44481605  81.24705882 145.        ]","[0.05545455 0.15181818 0.18954545 0.18090909 0.18636364 0.12272727
 0.11318182]",0.8175484038398245,0.5515032202378365,1
48,random-forest,[  0.   14.5  25.5  34.5  49.5  57.5  60.5  70.5 145. ],"[0.08818182 0.13590909 0.07090909 0.18772727 0.11409091 0.06590909
 0.11272727 0.22454545]",0.8575675671196691,0.5226496110716657,1
49,equal-width,[  0.    18.75  37.5   56.25  75.    93.75 112.5  131.25 150.  ],"[0.13681818 0.20363636 0.23727273 0.24318182 0.08409091 0.00409091
 0.03545455 0.05545455]",0.6251687701770388,0.4374740608376153,1
50,equal-width-data,[  0.   22.5  40.   57.5  75.   92.5 110.  127.5 145. ],"[0.18181818 0.18545455 0.22954545 0.22409091 0.08363636 0.00454545
 0.02545455 0.06545455]",0.6372413856062111,0.4521800262988648,1
51,equal-frequency,[  0.  18.  28.  40.  51.  59.  68.  79. 145.],"[0.11909091 0.12636364 0.12181818 0.12545455 0.12590909 0.12409091
 0.11909091 0.13818182]",0.7189483136797217,0.5136293742135629,1
52,kbins,[  0.   22.5  40.   57.5  75.   92.5 110.  127.5 145. ],"[0.18181818 0.18545455 0.22954545 0.22409091 0.08363636 0.00454545
 0.02545455 0.06545455]",0.6372413856062111,0.4521800262988648,1
53,kbins-quantile,[  0.  18.  28.  40.  51.  59.  68.  79. 145.],"[0.11909091 0.12636364 0.12181818 0.12545455 0.12590909 0.12409091
 0.11909091 0.13818182]",0.7189483136797217,0.5136293742135629,2
54,decision-tree,[  0.   30.5  34.5  54.5  60.5  69.5  80.5 107.5 145. ],"[0.28090909 0.01409091 0.24181818 0.12590909 0.10136364 0.12045455
 0.02454545 0.09090909]",0.6833120658235992,0.48779256469966414,1
55,kmeans,"[  0.          11.86710963  25.12609971  40.95024876  56.25591398
  68.51851852  80.4742268  124.69230769 145.        ]","[0.065      0.15909091 0.16       0.19363636 0.17863636 0.12818182
 0.04272727 0.07272727]",0.6355076395712762,0.4617310057886116,1
56,random-forest,[  0.    13.5   23.5   34.25  46.5   53.5   59.25  70.   114.25 145.  ],"[0.07954545 0.11636364 0.09909091 0.15590909 0.075      0.11136364
 0.12681818 0.145      0.09090909]",0.6574277881368733,0.44610592333198595,1
57,equal-width,"[  0.          16.66666667  33.33333333  50.          66.66666667
  83.33333333 100.         116.66666667 133.33333333 150.        ]","[0.10772727 0.18409091 0.19090909 0.24590909 0.16       0.02045455
 0.         0.04181818 0.04909091]",0.7170873259276573,0.3748236345126672,1
58,equal-width-data,[  0.     20.556  36.111  51.667  67.222  82.778  98.333 129.444 145.   ],"[0.15454545 0.17181818 0.17863636 0.23772727 0.145      0.02136364
 0.03090909 0.06      ]",0.71374708005872,0.4548251175582343,1
59,equal-frequency,"[  0.     17.     25.     37.     46.     55.     61.     71.     83.667
 145.   ]","[0.10772727 0.09954545 0.11909091 0.11454545 0.09590909 0.12590909
 0.11272727 0.11318182 0.11136364]",0.6367941177248322,0.47876857141667906,1
60,kbins,"[  0.          20.55555556  36.11111111  51.66666667  67.22222222
  82.77777778  98.33333333 113.88888889 129.44444444 145.        ]","[0.15454545 0.17181818 0.17863636 0.23772727 0.145      0.02136364
 0.         0.03090909 0.06      ]",0.71374708005872,0.39086539349717775,1
61,kbins-quantile,"[  0.          17.          25.          37.          46.
  55.          61.          71.          83.66666667 145.        ]","[0.10772727 0.09954545 0.11909091 0.11454545 0.09590909 0.12590909
 0.11272727 0.11318182 0.11136364]",0.6367941177248322,0.47876887596818185,1
62,decision-tree,[  0.   14.5  30.5  34.5  54.5  60.5  69.5  80.5 107.5 145. ],"[0.08818182 0.19272727 0.01409091 0.24181818 0.12590909 0.10136364
 0.12045455 0.02454545 0.09090909]",0.5970217740049735,0.4490821345373268,1
63,kmeans,"[  0.          11.86710963  24.80428135  37.70038911  47.36653386
  57.64075067  68.03663004  79.76146789 125.37209302 145.        ]","[0.065      0.14227273 0.13318182 0.12181818 0.13454545 0.15954545
 0.11909091 0.055      0.06954545]",0.5665013527979896,0.4248176038638255,1
64,random-forest,"[  0.          14.5         23.27777778  38.38888889  43.83333333
  50.27777778  55.94444444  60.16666667  69.61111111  95.44444444
 145.        ]","[0.08818182 0.10772727 0.16045455 0.05818182 0.07818182 0.06409091
 0.10590909 0.10136364 0.145      0.09090909]",0.6067812610049541,0.4468311673565961,1
65,equal-width,[  0.  15.  30.  45.  60.  75.  90. 105. 120. 135. 150.],"[0.08818182 0.17909091 0.15818182 0.21181818 0.18363636 0.07909091
 0.00909091 0.         0.04454545 0.04636364]",0.5891698501300019,0.32256998928030023,2
66,equal-width-data,[  0.  19.  33.  47.  61.  75.  89. 103. 131. 145.],"[0.13681818 0.15090909 0.16318182 0.21181818 0.15818182 0.07727273
 0.01090909 0.03363636 0.05727273]",0.6045550604981059,0.40155068165802277,1
67,equal-frequency,[  0.   16.   24.   35.   42.   51.   58.   64.   73.   89.1 145. ],"[0.09772727 0.09818182 0.09909091 0.10181818 0.09590909 0.10409091
 0.09909091 0.10318182 0.10090909 0.1       ]",0.5628387641650512,0.44613612332886243,1
68,kbins,[  0.  19.  33.  47.  61.  75.  89. 103. 117. 131. 145.],"[0.13681818 0.15090909 0.16318182 0.21181818 0.15818182 0.07727273
 0.01090909 0.         0.03363636 0.05727273]",0.6045550604981059,0.3396528623315117,1
69,kbins-quantile,[  0.   16.   24.   35.   42.   51.   58.   64.   73.   89.1 145. ],"[0.09772727 0.09818182 0.09909091 0.10181818 0.09590909 0.10409091
 0.09909091 0.10318182 0.10090909 0.1       ]",0.5628387641650512,0.4461361233288623,1
70,decision-tree,[  0.   14.5  30.5  34.5  40.5  54.5  60.5  69.5  80.5 107.5 145. ],"[0.08818182 0.19272727 0.01409091 0.08909091 0.15272727 0.12590909
 0.10136364 0.12045455 0.02454545 0.09090909]",0.5060490427448552,0.4204811917695428,1
71,kmeans,"[  0.           8.64        18.24        26.72532189  37.81349206
  47.36653386  58.28639618  70.35135135  81.98657718 125.37209302
 145.        ]","[0.04136364 0.09545455 0.09727273 0.10636364 0.12181818 0.15636364
 0.15681818 0.11136364 0.04363636 0.06954545]",0.5007855792061606,0.38785139840275484,1
72,random-forest,[  0.   12.5  16.4  27.3  39.2  43.1  54.   62.5  70.8  79.7 110.2 145. ],"[0.07272727 0.035      0.13772727 0.12181818 0.04727273 0.11136364
 0.16       0.08954545 0.1        0.03363636 0.09090909]",0.4633614433884683,0.386476279684688,1
73,equal-width,"[  0.          13.63636364  27.27272727  40.90909091  54.54545455
  68.18181818  81.81818182  95.45454545 109.09090909 122.72727273
 136.36363636 150.        ]","[0.07954545 0.16590909 0.13863636 0.15272727 0.21954545 0.13045455
 0.02227273 0.         0.01227273 0.04       0.03863636]",0.6174408926115271,0.2772528503544598,1
74,equal-width-data,"[  0.     17.727  30.455  43.182  55.909  68.636  81.364  94.091 106.818
 132.273 145.   ]","[0.11909091 0.16181818 0.13363636 0.14227273 0.19954545 0.13045455
 0.02045455 0.00181818 0.03909091 0.05181818]",0.46480124035300263,0.35546941617736527,1
75,equal-frequency,"[  0.     15.     22.818  30.     39.     47.     55.     59.     66.
  74.     97.273 145.   ]","[0.08818182 0.09363636 0.08545455 0.08909091 0.09454545 0.08590909
 0.08181818 0.10136364 0.09       0.09909091 0.09090909]",0.5149772024808524,0.41397633478128937,1
76,kbins,"[  0.          17.72727273  30.45454545  43.18181818  55.90909091
  68.63636364  81.36363636  94.09090909 106.81818182 119.54545455
 132.27272727 145.        ]","[0.11909091 0.16181818 0.13363636 0.14227273 0.19954545 0.13045455
 0.02045455 0.00181818 0.         0.03909091 0.05181818]",0.46480124035300263,0.29518604022480677,1
77,kbins-quantile,"[  0.          15.          22.81818182  30.          39.
  47.          55.          59.          66.          74.
  97.27272727 145.        ]","[0.08818182 0.09363636 0.08545455 0.08909091 0.09454545 0.08590909
 0.08181818 0.10136364 0.09       0.09909091 0.09090909]",0.5149772024808524,0.413976622794186,1
78,decision-tree,[  0.   14.5  30.5  34.5  40.5  54.5  60.5  69.5  80.5 107.5 142.5 145. ],"[0.08818182 0.19272727 0.01409091 0.08909091 0.15272727 0.12590909
 0.10136364 0.12045455 0.02454545 0.07727273 0.01363636]",0.4747854979001689,0.32811928689977077,1
79,kmeans,"[  0.           8.64        18.24        26.72532189  38.31541219
  47.89285714  57.30057803  65.95982143  75.58299595  89.19148936
 124.69230769 145.        ]","[0.04136364 0.09545455 0.09727273 0.12227273 0.10590909 0.13454545
 0.12318182 0.11181818 0.06818182 0.02727273 0.07272727]",0.40980706905298403,0.36094893445495835,1
80,random-forest,"[  0.           6.5         16.04545455  27.59090909  36.13636364
  41.68181818  48.40909091  53.77272727  61.31818182  72.31818182
  80.31818182 134.95454545 145.        ]","[0.02090909 0.08681818 0.13772727 0.08090909 0.07045455 0.07772727
 0.05136364 0.14772727 0.12545455 0.08545455 0.06909091 0.04636364]",0.43597706273163117,0.3449893043318224,1
81,equal-width,"[  0.   12.5  25.   37.5  50.   62.5  75.   87.5 100.  112.5 125.  137.5
 150. ]","[0.07272727 0.13454545 0.13318182 0.14227273 0.20318182 0.135
 0.07454545 0.01363636 0.         0.01818182 0.03727273 0.03545455]",0.5237261779386315,0.23687810030388834,1
82,equal-width-data,"[  0.     16.667  28.333  40.     51.667  63.333  75.     86.667  98.333
 121.667 133.333 145.   ]","[0.10772727 0.14681818 0.11272727 0.13772727 0.19090909 0.125
 0.07272727 0.01545455 0.00863636 0.03318182 0.04909091]",0.5360593066090769,0.3033198565576818,1
83,equal-frequency,[  0.  14.  21.  28.  37.  44.  51.  57.  61.  68.  76. 121. 145.],"[0.07954545 0.075      0.09090909 0.08090909 0.08818182 0.07818182
 0.085      0.085      0.08       0.08909091 0.08181818 0.08636364]",0.4245847141937167,0.3681387288690847,1
84,kbins,"[  0.          16.66666667  28.33333333  40.          51.66666667
  63.33333333  75.          86.66666667  98.33333333 110.
 121.66666667 133.33333333 145.        ]","[0.10772727 0.14681818 0.11272727 0.13772727 0.19090909 0.125
 0.07272727 0.01545455 0.         0.00863636 0.03318182 0.04909091]",0.5360593066090769,0.2555301582531606,1
85,kbins-quantile,[  0.  14.  21.  28.  37.  44.  51.  57.  61.  68.  76. 121. 145.],"[0.07954545 0.075      0.09090909 0.08090909 0.08818182 0.07818182
 0.085      0.085      0.08       0.08909091 0.08181818 0.08636364]",0.4245847141937167,0.3681387288690847,1
86,decision-tree,"[  0.   14.5  30.5  34.5  38.5  40.5  54.5  60.5  69.5  80.5 107.5 142.5
 145. ]","[0.08818182 0.19272727 0.01409091 0.06136364 0.02772727 0.15272727
 0.12590909 0.10136364 0.12045455 0.02454545 0.07727273 0.01363636]",0.44956558558363124,0.3031585209257577,1
87,kmeans,"[  0.           8.64        18.24        26.72532189  37.81349206
  46.29145729  54.48034934  60.42561983  68.4729064   76.65641026
  89.19148936 125.37209302 145.        ]","[0.04136364 0.09545455 0.09727273 0.10636364 0.11045455 0.08590909
 0.12590909 0.09363636 0.085      0.05863636 0.03045455 0.06954545]",0.34939153000182677,0.34173646146679637,1
88,random-forest,"[  0.           8.5         16.08333333  25.66666667  32.75
  38.83333333  44.41666667  53.          59.58333333  68.16666667
  76.75       107.41666667 135.91666667 145.        ]","[0.04136364 0.06636364 0.11636364 0.06363636 0.06863636 0.06909091
 0.09090909 0.12090909 0.11909091 0.085      0.06772727 0.04772727
 0.04318182]",0.3894153002210047,0.29881098537512585,1
89,equal-width,"[  0.          11.53846154  23.07692308  34.61538462  46.15384615
  57.69230769  69.23076923  80.76923077  92.30769231 103.84615385
 115.38461538 126.92307692 138.46153846 150.        ]","[0.065      0.13090909 0.09909091 0.15590909 0.14590909 0.16727273
 0.12045455 0.02       0.00454545 0.         0.02409091 0.03590909
 0.03090909]",0.42195983603407183,0.2001970524271447,1
90,equal-width-data,"[  0.     15.769  26.538  37.308  48.077  58.846  69.615  80.385  91.154
 101.923 123.462 134.231 145.   ]","[0.09772727 0.13636364 0.10636364 0.13409091 0.14409091 0.14545455
 0.12045455 0.01818182 0.00636364 0.01636364 0.02818182 0.04636364]",0.4367425193637453,0.2672392278942862,1
91,equal-frequency,[  0.  13.  20.  26.  35.  41.  47.  55.  58.  63.  70.  77. 123. 145.],"[0.07272727 0.07181818 0.07954545 0.07090909 0.08909091 0.06681818
 0.08590909 0.06       0.08909091 0.07818182 0.07727273 0.08
 0.07863636]",0.3749231607051795,0.3463628292015145,1
92,kbins,"[  0.          15.76923077  26.53846154  37.30769231  48.07692308
  58.84615385  69.61538462  80.38461538  91.15384615 101.92307692
 112.69230769 123.46153846 134.23076923 145.        ]","[0.09772727 0.13636364 0.10636364 0.13409091 0.14409091 0.14545455
 0.12045455 0.01818182 0.00636364 0.         0.01636364 0.02818182
 0.04636364]",0.4367425193637453,0.21947324682383884,1
93,kbins-quantile,[  0.  13.  20.  26.  35.  41.  47.  55.  58.  63.  70.  77. 123. 145.],"[0.07272727 0.07181818 0.07954545 0.07090909 0.08909091 0.06681818
 0.08590909 0.06       0.08909091 0.07818182 0.07727273 0.08
 0.07863636]",0.3749231607051795,0.3463628292015145,1
94,decision-tree,"[  0.   14.5  30.5  34.5  38.5  40.5  45.5  54.5  60.5  69.5  80.5 107.5
 142.5 145. ]","[0.08818182 0.19272727 0.01409091 0.06136364 0.02772727 0.05681818
 0.09590909 0.12590909 0.10136364 0.12045455 0.02454545 0.07727273
 0.01363636]",0.3764993631413751,0.29475411817986363,1
95,kmeans,"[  0.           8.23125     16.3164557   22.62285714  28.76510067
  37.99176955  46.8539823   56.02061856  63.0862069   71.
  77.75838926  89.46666667 125.37209302 145.        ]","[0.04136364 0.06636364 0.07409091 0.07272727 0.08590909 0.11045455
 0.12681818 0.11818182 0.09       0.06681818 0.04727273 0.03045455
 0.06954545]",0.3128007366256458,0.31508873295498474,1
96,random-forest,"[  0.           5.5         14.88461538  22.03846154  27.65384615
  34.03846154  40.42307692  46.42307692  54.19230769  60.57692308
  67.96153846  76.34615385  87.         135.11538462 145.        ]","[0.01       0.07818182 0.09363636 0.06363636 0.04954545 0.08909091
 0.06681818 0.08590909 0.12590909 0.08       0.09863636 0.05409091
 0.06136364 0.04318182]",0.32429448397240557,0.2996926860895863,1
97,equal-width,"[  0.          10.71428571  21.42857143  32.14285714  42.85714286
  53.57142857  64.28571429  75.          85.71428571  96.42857143
 107.14285714 117.85714286 128.57142857 139.28571429 150.        ]","[0.05545455 0.11681818 0.11545455 0.11454545 0.12363636 0.18090909
 0.11409091 0.07045455 0.01772727 0.         0.         0.02818182
 0.03727273 0.02545455]",0.4794229113588804,0.16637957885145516,1
98,equal-width-data,[  0.  15.  25.  35.  45.  55.  65.  75.  85.  95. 125. 135. 145.],"[0.08818182 0.11909091 0.08772727 0.13045455 0.11136364 0.17
 0.11409091 0.06818182 0.01818182 0.02       0.02636364 0.04636364]",0.4650175131369382,0.2759652950292132,1
99,equal-frequency,"[  0.  12.  19.  25.  32.  39.  45.  51.  56.  60.  65.  71.  78. 125.
 145.]","[0.065      0.07181818 0.07045455 0.07818182 0.07090909 0.06909091
 0.06727273 0.06409091 0.08045455 0.06954545 0.06863636 0.07727273
 0.07454545 0.07272727]",0.31694009194522066,0.3263954038879803,1
100,kbins,"[  0.  15.  25.  35.  45.  55.  65.  75.  85.  95. 105. 115. 125. 135.
 145.]","[0.08818182 0.11909091 0.08772727 0.13045455 0.11136364 0.17
 0.11409091 0.06818182 0.01818182 0.00181818 0.         0.01818182
 0.02636364 0.04636364]",0.4650175131369382,0.1862092252208697,1
101,kbins-quantile,"[  0.  12.  19.  25.  32.  39.  45.  51.  56.  60.  65.  71.  78. 125.
 145.]","[0.065      0.07181818 0.07045455 0.07818182 0.07090909 0.06909091
 0.06727273 0.06409091 0.08045455 0.06954545 0.06863636 0.07727273
 0.07454545 0.07272727]",0.31694009194522066,0.3263954038879803,1
102,decision-tree,"[  0.   14.5  30.5  34.5  38.5  40.5  45.5  54.5  60.5  69.5  77.5  80.5
 107.5 142.5 145. ]","[0.08818182 0.19272727 0.01409091 0.06136364 0.02772727 0.05681818
 0.09590909 0.12590909 0.10136364 0.08863636 0.03181818 0.02454545
 0.07727273 0.01363636]",0.3354279611184441,0.27091915685234536,1
103,kmeans,"[  0.           7.78321678  15.89714286  23.          29.24409449
  37.33990148  44.10465116  51.          57.86378738  65.12087912
  72.12048193  78.288       89.46666667 125.37209302 145.        ]","[0.03227273 0.06545455 0.09818182 0.07136364 0.07318182 0.085
 0.06727273 0.10409091 0.12318182 0.07909091 0.06272727 0.03818182
 0.03045455 0.06954545]",0.2534248212147511,0.30206119266552933,1
104,random-forest,"[  0.           5.5         16.35714286  23.92857143  30.07142857
  37.92857143  43.78571429  49.64285714  55.5         61.35714286
  69.21428571  76.07142857  92.14285714 128.78571429 137.64285714
 145.        ]","[0.01       0.09772727 0.08818182 0.085      0.05954545 0.07409091
 0.06818182 0.07409091 0.11681818 0.09045455 0.07727273 0.06318182
 0.03272727 0.02727273 0.03545455]",0.23071318022072895,0.23070706832793875,1
105,equal-width,"[  0.  10.  20.  30.  40.  50.  60.  70.  80.  90. 100. 110. 120. 130.
 140. 150.]","[0.04909091 0.09545455 0.12272727 0.1        0.11545455 0.15454545
 0.12681818 0.11136364 0.02454545 0.00909091 0.         0.
 0.03090909 0.03454545 0.02545455]",0.3821694366996018,0.13484794253674315,2
106,equal-width-data,"[  0.     14.333  23.667  33.     42.333  51.667  61.     70.333  79.667
  89.     98.333 126.333 135.667 145.   ]","[0.08818182 0.10772727 0.09181818 0.11454545 0.10272727 0.15772727
 0.11272727 0.1        0.02272727 0.01090909 0.02409091 0.02363636
 0.04318182]",0.39197738463932685,0.24513081698645556,1
107,equal-frequency,"[  0.   12.   18.   24.   29.   37.   42.   48.   54.   58.   61.   67.
  73.   79.  126.4 145. ]","[0.065      0.05409091 0.07681818 0.05863636 0.07181818 0.07045455
 0.06545455 0.06363636 0.07090909 0.06590909 0.06590909 0.07045455
 0.06272727 0.07136364 0.06681818]",0.2607581598732591,0.30712233455885973,1
108,kbins,"[  0.          14.33333333  23.66666667  33.          42.33333333
  51.66666667  61.          70.33333333  79.66666667  89.
  98.33333333 107.66666667 117.         126.33333333 135.66666667
 145.        ]","[0.08818182 0.10772727 0.09181818 0.11454545 0.10272727 0.15772727
 0.11272727 0.1        0.02272727 0.01090909 0.         0.
 0.02409091 0.02363636 0.04318182]",0.39197738463932685,0.15517680297087755,1
109,kbins-quantile,"[  0.   12.   18.   24.   29.   37.   42.   48.   54.   58.   61.   67.
  73.   79.  126.4 145. ]","[0.065      0.05409091 0.07681818 0.05863636 0.07181818 0.07045455
 0.06545455 0.06363636 0.07090909 0.06590909 0.06590909 0.07045455
 0.06272727 0.07136364 0.06681818]",0.2607581598732591,0.3071223345588596,1
110,decision-tree,"[  0.   14.5  30.5  34.5  38.5  40.5  43.5  45.5  54.5  60.5  69.5  77.5
  80.5 107.5 142.5 145. ]","[0.08818182 0.19272727 0.01409091 0.06136364 0.02772727 0.03045455
 0.02636364 0.09590909 0.12590909 0.10136364 0.08863636 0.03181818
 0.02454545 0.07727273 0.01363636]",0.30816911338033826,0.2635698131287778,1
111,kmeans,"[  0.           8.23125     16.3164557   22.62285714  28.76510067
  37.78354978  45.58730159  53.50239234  59.22268908  65.99418605
  72.47651007  78.288       89.46666667 122.85714286 132.3559322
 145.        ]","[0.04136364 0.06636364 0.07409091 0.07272727 0.08590909 0.10045455
 0.085      0.11136364 0.08272727 0.07909091 0.06272727 0.03818182
 0.02136364 0.02681818 0.05181818]",0.17930652609248798,0.2337968185508862,1
112,random-forest,"[  0.           5.5         13.1         19.23333333  26.1
  31.96666667  37.83333333  43.7         51.56666667  57.43333333
  63.3         70.16666667  77.03333333 107.2        127.03333333
 136.63333333 145.        ]","[0.01       0.06954545 0.065      0.08954545 0.05136364 0.055
 0.07409091 0.09045455 0.09181818 0.09909091 0.07954545 0.07727273
 0.05636364 0.02545455 0.02681818 0.03863636]",0.27177369200433743,0.20542938081484075,1
